GameID,Team1,Team2,AVG_ORAPM_Team1,AVG_DRAPM_Team1,AVG_ORAPM_Team2,AVG_DRAPM_Team2,AVG_RANK_Team1,AVG_RANK_Team2,season,GAME_ID,WINNER_SIDE,WINNER_TEAM,WINNER_TEAM_ID,HOME_TEAM,HOME_TEAM_ID,HOME_TEAM_WON
21600005,IND,DAL,0.6139,-0.24914,0.41129999999999994,0.19746000000000002,237.6,192.0,2016-17,21600005,HOME,IND,1610612754,IND,1610612754,1
21600021,PHX,OKC,0.29144,-0.15497999999999998,0.30632000000000004,0.8748400000000001,265.2,182.0,2016-17,21600021,HOME,OKC,1610612760,OKC,1610612760,1
21600033,POR,DEN,0.9927322727272727,-0.2800651515151515,0.88316,-0.65664,227.6787878787879,343.6,2016-17,21600033,AWAY,POR,1610612757,DEN,1610612743,0
21600039,WAS,MEM,1.1838922727272727,-0.2050051515151515,0.5107722727272728,0.6626748484848485,211.6787878787879,159.47878787878787,2016-17,21600039,HOME,MEM,1610612763,MEM,1610612763,1
21600049,MIA,SAC,-0.49314,0.09844000000000001,0.06428000000000005,-0.23782000000000006,344.0,314.4,2016-17,21600049,HOME,MIA,1610612748,MIA,1610612748,1
21600060,NOP,MEM,0.050859999999999995,0.5696199999999999,0.9257722727272728,0.4243148484848486,249.4,140.87878787878788,2016-17,21600060,HOME,MEM,1610612763,MEM,1610612763,1
21600063,POR,PHX,0.9043922727272727,-0.45972515151515153,0.04185999999999997,-0.51696,262.4787878787879,352.6,2016-17,21600063,HOME,PHX,1610612756,PHX,1610612756,1
21600075,NOP,PHX,0.01775999999999999,0.5833199999999998,0.11381999999999996,-0.40759999999999996,265.8,325.0,2016-17,21600075,AWAY,PHX,1610612756,NOP,1610612740,0
21600090,MIL,DAL,0.56424,-0.4677199999999999,-0.17805999999999997,0.94252,273.4,167.4,2016-17,21600090,HOME,DAL,1610612742,DAL,1610612742,1
21600110,IND,PHI,0.7697322727272727,-0.025465151515151496,-0.45111999999999985,-0.007260000000000044,185.27878787878788,352.6,2016-17,21600110,HOME,IND,1610612754,IND,1610612754,1
21600121,IND,PHI,0.7881400000000001,-0.22506000000000004,-1.10806,0.03948,225.2,372.8,2016-17,21600121,HOME,PHI,1610612755,PHI,1610612755,1
21600128,SAC,POR,0.3440599999999999,-0.13936000000000004,1.2040722727272728,-0.6190051515151515,262.0,238.8787878787879,2016-17,21600128,HOME,POR,1610612757,POR,1610612757,1
21600181,DEN,TOR,0.6645522727272727,-0.3314851515151515,2.00508,0.16115999999999997,278.8787878787879,121.0,2016-17,21600181,AWAY,TOR,1610612761,DEN,1610612743,0
